[14-Jun-2025 22:41:06 Asia/Shanghai] PHP Warning:  PDO::exec(): MySQL server has gone away in O:\panzuowen\arbitrary\phpmyadmin522\ajax_ai_generate.php on line 209
[14-Jun-2025 22:41:06 Asia/Shanghai] PHP Warning:  PDO::exec(): Error reading result set's header in O:\panzuowen\arbitrary\phpmyadmin522\ajax_ai_generate.php on line 209
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('披萨', '主食', 89.00, '经典意大利风味披萨，搭配多种芝士和酱料。', '2023-03-01 12:00:00', '2023-03-02 15:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('汉堡', '快餐', 32.50, '双层牛肉饼，配以新鲜蔬菜和特制酱料。', '2023-03-01 13:15:00', '2023-03-02 16:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('可乐', '饮料', 8.00, NULL, '2023-03-01 14:30:00', '2023-03-02 17:00:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('寿司', '日料', 68.00, '精选三文鱼与金枪鱼，搭配优质大米制作。', '2023-03-01 15:00:00', '2023-03-02 18:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('奶茶', '饮品', 15.50, '经典珍珠奶茶，口感丝滑香甜。', '2023-03-01 16:45:00', '2023-03-02 19:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('沙拉', '轻食', 28.00, '混合生菜、黄瓜、西红柿，搭配酸奶油酱。', '2023-03-01 17:10:00', '2023-03-02 20:00:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('烤鸭', '中餐', 128.00, '外皮酥脆，肉质鲜嫩的北京烤鸭。', '2023-03-01 18:30:00', '2023-03-02 21:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('牛排', '西餐', 198.00, '顶级澳洲进口牛排，炭火烤制。', '2023-03-01 19:00:00', '2023-03-02 22:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('冰淇淋', '甜品', 22.00, '多种口味选择，清凉解暑。', '2023-03-01 20:45:00', '2023-03-02 23:00:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('热狗', '小吃', 12.50, NULL, '2023-03-01 21:15:00', '2023-03-03 00:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('咖啡', '饮品', 30.00, '现磨意式浓缩咖啡，香气浓郁。', '2023-03-02 08:00:00', '2023-03-03 10:00:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('炸鸡', '快餐', 45.00, '外酥里嫩的韩式炸鸡，搭配甜辣酱。', '2023-03-02 09:30:00', '2023-03-03 11:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('蛋糕', '甜品', 58.00, '柔软绵密的巧克力慕斯蛋糕。', '2023-03-02 10:45:00', '2023-03-03 12:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('果汁', '饮品', 18.00, '纯天然橙汁，富含维C。', '2023-03-02 11:15:00', '2023-03-03 13:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('包子', '早餐', 10.00, '鲜肉大包，口感松软多汁。', '2023-03-02 12:30:00', '2023-03-03 14:00:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('拉面', '主食', 35.00, '手工拉制面条，搭配浓郁骨汤。', '2023-03-02 13:00:00', '2023-03-03 15:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('薯条', '小吃', 15.00, NULL, '2023-03-02 14:45:00', '2023-03-03 16:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('啤酒', '酒水', 25.00, '冰镇德国黑啤，醇厚爽口。', '2023-03-02 15:15:00', '2023-03-03 17:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('龙虾', '海鲜', 298.00, '鲜活波士顿大龙虾，蒸煮或烤制均可。', '2023-03-02 16:30:00', '2023-03-03 18:00:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('红烧肉', '中餐', 58.00, '入口即化的家常红烧肉。', '2023-03-02 17:45:00', '2023-03-03 19:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('饺子', '点心', 28.00, '手工包制猪肉大葱馅饺子。', '2023-03-02 18:00:00', '2023-03-03 20:30:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('麻辣烫', '快餐', 38.00, '川味麻辣锅底，搭配多种食材。', '2023-03-02 19:15:00', '2023-03-03 21:45:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('炒饭', '主食', 25.00, '蛋炒饭加腊肠，香气四溢。', '2023-03-02 20:30:00', '2023-03-03 22:00:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('布丁', '甜品', 18.00, '焦糖风味布丁，口感细腻。', '2023-03-02 21:45:00', '2023-03-03 23:15:00', 1)
[14-Jun-2025 22:41:06 Asia/Shanghai] SQL执行错误: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away - SQL: INSERT INTO test883 (name, category, price, description, created_at, updated_at, is_available) VALUES ('奶茶(少糖)', '饮品', 16.00, '低糖版本的经典奶茶。', '2023-03-03 08:00:00', '2023-03-04 10:00:00', 1)
